,Bit-length,Lattice Dimension,N,l,c,|b_op - t|^2,P(b_op),|v_best - t|^2,P(v_best),P(|v_new - t|^2 < |b_op - t|^2),P(|v_new - t|^2 > |b_op - t|^2),E[|v_new - t|^2]
0,8.0,3.0,229.0,1.0,3.0,8.06225774829855,0.42099999999999993,8.06225774829855,0.421,0.0,0.5790000000000001,9.669730025658154
0,8.0,3.0,233.0,1.0,3.0,8.774964387392123,0.11499999999999999,8.774964387392123,0.115,0.0,0.885,15.66231290266355
0,8.0,3.0,199.0,1.0,3.0,6.4031242374328485,0.2789999999999999,6.4031242374328485,0.279,0.0,0.7210000000000001,11.030838460012653
0,8.0,3.0,191.0,1.0,3.0,7.874007874011811,0.937,7.874007874011811,0.937,0.0,0.063,8.19959494448023
0,8.0,3.0,223.0,1.0,3.0,10.04987562112089,0.42399999999999993,9.591663046625438,0.314,0.314,0.262,10.77667466513046
0,8.0,3.0,229.0,1.0,3.0,8.06225774829855,0.42099999999999993,8.06225774829855,0.421,0.0,0.5790000000000001,9.669730025658154
0,8.0,3.0,191.0,1.0,3.0,7.874007874011811,0.937,7.874007874011811,0.937,0.0,0.063,8.19959494448023
0,8.0,3.0,241.0,1.0,3.0,6.782329983125268,0.62,6.782329983125268,0.62,0.0,0.38,9.6092362701156
0,9.0,3.0,347.0,1.0,3.0,7.615773105863909,0.11499999999999999,7.615773105863909,0.115,0.0,0.885,14.859469951898317
0,9.0,3.0,433.0,1.0,3.0,5.385164807134504,0.872,5.385164807134504,0.872,0.0,0.12799999999999997,6.514521698709952
0,9.0,3.0,257.0,1.0,3.0,10.862780491200215,0.45199999999999996,9.433981132056603,0.35,0.35,0.198,10.953853623294968
0,9.0,3.0,419.0,1.0,3.0,10.14889156509222,0.09299999999999997,10.14889156509222,0.093,0.0,0.907,11.889969770491424
0,9.0,3.0,307.0,1.0,3.0,9.273618495495704,0.368,9.273618495495704,0.368,0.0,0.632,10.684350660729665
0,9.0,3.0,277.0,1.0,3.0,8.48528137423857,0.32899999999999996,8.48528137423857,0.329,0.0,0.671,10.606964205097366
0,9.0,3.0,257.0,1.0,3.0,10.862780491200215,0.45199999999999996,9.433981132056603,0.35,0.35,0.198,10.953853623294968
0,9.0,3.0,337.0,1.0,3.0,5.477225575051661,0.7709999999999999,5.477225575051661,0.771,0.0,0.22900000000000004,7.9861660137216965
